chnm,cmax,mol_wt,dailydose,logP,reactive_metabolites,classificn
abacavir,-0.246513168,-0.411151286,0.040093154,-0.459469853,1.017292348,1
acetaminophen,0.997393385,-1.359063071,2.83204926,-0.791490087,1.017292348,1
acitretin,-0.390792135,-0.129960914,-0.617179845,1.8736453,-0.983001595,1
albendazole,-0.394775752,-0.558425554,-0.192569854,0.213544133,1.017292348,1
alclofenac,5.95276884,-0.829644777,0.796247933,0.294305812,1.017292348,1
allopurinol,-0.258024337,-1.46461267,-0.192569854,-1.244652838,-0.983001595,1
ambrisentan,-0.376681021,0.234644153,-0.649171009,0.698114203,1.017292348,0
amifostine,2.138375362,-0.91683619,1.319739703,-1.850365426,1.017292348,0
amikacin,-0.040959607,1.687555697,0.505419172,-4.318083377,-0.983001595,0
ampicillin,-0.315151095,0.031159959,1.668734216,-0.392168455,-0.983001595,0
amrinone,-0.258342178,-1.106355825,-0.07623835,-1.204271999,-0.983001595,0
anastrozole,-0.403701808,-0.361824024,-0.656732557,0.078941336,-0.983001595,0
aspirin,-0.345845073,-1.15572937,2.83204926,-0.463956613,-0.983001595,0
atenolol,-0.351452861,-0.551379985,-0.570647244,-0.926092884,-0.983001595,0
auranofin,-0.393756539,2.345977872,-0.650915982,-0.410115494,1.017292348,0
azathioprine,-0.400756474,-0.474755103,-0.483398615,-0.953013444,1.017292348,1
azithromycin,-0.398700038,2.833312513,-0.308901359,0.805796441,-0.983001595,0
aztreonam,1.104181858,0.634452944,3.995364304,-1.774090507,-0.983001595,0
benzbromarone,-0.358391347,0.554862441,-0.541564368,1.496757468,1.017292348,1
bicalutamide,-0.383482834,0.598972567,-0.59973012,0.123808935,-0.983001595,1
bisacodyl,-0.402769472,0.115213376,-0.646262722,0.88655812,1.017292348,0
bortezomib,-0.401483272,0.275431148,-0.655220247,-0.306920017,-0.983001595,1
budesonide,-0.404345967,0.600098043,-0.647426037,-0.14539666,-0.983001595,0
busulfan,-0.401425001,-0.69187566,-0.650915982,-1.231192558,1.017292348,1
caffeine,0.040619777,-1.057318189,-0.192569854,-1.029288362,1.017292348,0
capecitabine,-0.320332975,0.100904,5.856668375,-0.818410646,-0.983001595,0
