chnm,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
abacavir,-1.453781308851318,-0.6459566278514429,-0.04238723567360843,-0.6134094061011022,-0.38387189101508173,0.0035626699739683024,-0.03609896379368526,-0.1665587705775771,-0.2513297639407159,-0.1435995177478803,0.09927239464313695,-0.1532303105217196,-0.30378237707270866,-0.45813076793093493,0.0008164766950047347,0.1379297356880176,-0.20900114531395858,0.14399132176628307,-0.6552012571992044,0.3324932869718979,-0.3849548359769491,-0.10345482775017191,0.8742004349507386,-0.6436861043026146,0.6548820978543185,0.6997790991203042,0.42147743391885656,-0.0029049124866741384
acetaminophen,-0.28088354034699964,0.29701352196993924,1.7043316448184092,0.5860565538271176,0.4066940154384703,0.3407007020563253,1.2528601670578279,-0.4312648831115661,2.469549325335061,-0.0760372774176807,-2.1092983491371906,1.8404131683667964,1.1200509939804466,-0.6948168552150517,1.1390729785482907,-0.9991061934258006,1.021946401857202,1.182712845296477,-0.9540966186639114,-0.8136392516441706,0.22289605302626342,-0.2635836411291521,-1.5373866147459094,-1.9498841338275736,0.6364643776539642,-1.337834750568006,-0.0759628874746658,-1.2250502600675428
acitretin,-1.1169048798556052,-0.5882547087023284,-0.0675446161843623,-0.4550039120945785,-0.4321800668148894,0.5530496766641415,0.050968597673220206,-0.027997982245741463,-0.29520158619970754,-0.1957487761508549,0.5744589488093648,-0.15957819007730087,-0.18996284159269,-0.3783599953759084,-0.10753977705866787,-0.2554001597304061,-0.6050345948663737,-0.5330130287920777,0.5166285349600506,-0.23697862794799857,0.39988782801235506,0.5698106980680928,0.5959303854288792,0.5507698305990575,-0.30026646740583307,0.5601641761102153,-0.3381314335980226,-0.23419822601858395
albendazole,-0.5825167540741313,1.004083944229335,-1.1603414544126474,-0.4684953195084829,-0.50371434960166,0.6476756727848558,-0.4364392873641402,0.3505734984997416,-0.0636712995315058,0.058292730848148934,1.4870396237819818,-0.9128334619446946,-1.2367089060858982,-0.28556850803628897,0.4148926564495612,-0.5911880946037527,0.6801482116254883,0.4437138037752105,0.5233484373028162,-1.409747678667139,0.5139684271830772,0.543192711987416,0.15335748304116525,2.2873684062059536,0.15608436752827176,1.410520158093136,-0.5048797745398391,-0.43761291102608263
alclofenac,-1.4018120000745216,-0.8114733679305189,0.04153663289175936,-0.37215121196712314,-0.31884806416185396,0.31526849124832906,0.08578129922746204,-0.08296163364207122,-0.22788477788032402,-0.13023299924301748,-0.09763240573601371,-0.04504903407988424,0.02789962931933741,-0.4200645147926437,-0.016174968191657372,-0.0489029035284616,-0.28515601977668065,-0.13135231283804838,-0.1700692772697358,0.2071173487468162,-0.2218168878253172,0.09085851100543771,0.5413756813688129,-0.27508729673318133,-0.23634017522242945,0.05637185329935095,0.1880169008272556,0.006071047408302577
allopurinol,-1.5060126441293753,-0.8873973286192303,0.1518569596329738,-0.3879950032077872,-0.4178112195883124,0.20329218978973684,0.053188234535747066,-0.2051541921671548,-0.161103576420417,-0.1535527490234882,-0.36501070244875167,-0.3500950556402899,-0.30608349968986626,-0.46411015397595967,-0.300969988666672,-0.000528094601170933,-0.33155895962088633,0.020096877960531,-0.4833398107949163,0.05002404746245602,-0.30593695539112437,0.028831197539284897,-0.14824408219629012,0.18372325734884232,0.2141523936106441,-0.22535496878796776,0.05827670705698217,-0.08084537148591059
ambrisentan,-1.5059459289282315,-0.8873136421087507,0.15185759456217032,-0.388037455560187,-0.41786492246605744,0.20335931112494302,0.05317544305903193,-0.20519234261020514,-0.16100534647067846,-0.15341450980341872,-0.36481833959198157,-0.3500167339855282,-0.30629825526413074,-0.46409271280543596,-0.3011635251889414,-0.0006298857697875544,-0.3317838478352253,0.020014419399128455,-0.48320689731922006,0.04990975459892394,-0.3057760650341237,0.02899059077489889,-0.14825273096827352,0.1842074204456245,0.2142319531373903,-0.22544910925417344,0.05818066865748064,-0.080968676622584
amifostine,-1.505945928189988,-0.887313641182713,0.15185759456925216,-0.3880374560299446,-0.41786492306031087,0.2033593118676802,0.05317544291749391,-0.20519234303236641,-0.16100534538369798,-0.15341450827372258,-0.3648183374633737,-0.3500167331188557,-0.3062982576405227,-0.464092712612424,-0.30116352733053814,-0.0006298868961734961,-0.33178385032374885,0.020014418486677493,-0.48320689584846005,0.04990975333420954,-0.3057760632537774,0.028990592538675565,-0.1482527310639739,0.18420742580317018,0.2142319540177715,-0.22544911029588582,0.05818066759476262,-0.08096867798702978
amikacin,-1.5051994156024235,-0.8815193287724273,0.13930586316370414,-0.353034726283686,-0.32108957060410176,0.2038168789174012,-0.01752311422899595,-0.2134341000671938,-0.18509954184804137,-0.15525491988312579,-0.41808798301702715,-0.2883354198770022,-0.17306278254363686,-0.32184388078759585,-0.04292317907774757,0.056454939870214,-0.219535095217964,0.0834786578329969,-0.3200809242815701,0.08000657040241012,-0.12470442887255842,0.0017820802246443807,0.17267631495438898,-0.37314593970594395,0.02315351251743229,0.23872134531224332,0.26518478370304366,0.02138514353134747
ampicillin,-1.207918648089986,0.13408419987860876,-0.5509291207753828,-1.247382109295453,-0.3113145320840427,-0.8274040432911873,0.052748512882713934,-0.34832357140994485,-0.5281333518953971,-0.1652939385342169,-0.22550856343245668,-0.5023845710415732,-1.138792577522617,-1.4410215316178454,-0.041079690476797756,0.2100716192936083,-0.581764721893188,-0.2895104713956567,-0.4402828922514635,-0.12838515239838127,0.1808980583592818,0.19324211617676662,-0.965555906638479,0.29193848546205564,-0.6162158592340521,-0.6211992403756185,-0.7450123429339477,-0.2920296682379995
