chnm,classificn,cmax,mol_wt,dailydose,logP,reactive_metabolites
ambrisentan,0,2.6124,378.42108,7.5,3.78,1
amrinone,0,13.782,187.19795,500,-0.46,0
aztreonam,0,142.386,435.43278,4000,-1.73,0
capecitabine,0,7.9309,359.35008,5600,0.4,0
carbidopa,0,0.663,226.22915,70,-1.9,0
cladribine,0,0.0227,285.68698,300,-0.1,1
colchicine,0,0.0163,399.437,1,1.3,0
dexamethasone,0,0.2242,392.46106,1.5,1.83,1
dipyridamole,0,3.7453,504.6256,400,1.5,1
emtricitabine,0,17.1891,247.2467,200,-1.4,0
estrone,0,0.0218,270.36608,1,3.13,1
ethacrynic acid,0,32.9881,303.13798,50,3.3,1
flurbiprofen,0,57.315,244.26092,200,4.16,0
medroxyprogesterone,0,0.1158,344.48768,1000,3.5,0
metolazone,0,0.0706,365.83454,5,2.5,0
nabumetone,0,1.4499,228.28633,1000,3.08,1
nateglinide,0,17.7051,317.42258,360,2.4,1
norethindrone,0,0.0328,298.41924,5,2.97,1
oxytetracycline,0,3.2578,460.43396,1000,-0.9,0
praziquantel,0,2.0486,312.40606,3000,2.5,0
probenecid,0,56.1042,285.35926,1000,3.21,0
temazepam,0,23.3019,300.73962,20,2.19,0
trimethadione,0,41.9167,143.14055,1500,0.01,0
ampicillin,0,8.42,349.40476,2000,1.35,0
anastrozole,0,0.062,293.36626,1,2.4,0
aspirin,0,5.5229,180.15741,3000,1.19,0
atenolol,0,4.9936,266.33607,75,0.16,0
auranofin,0,1.0007,679.49181,6,1.31,1
azithromycin,0,0.5341,748.98447,300,4.02,0
captopril,0,8.8822,217.28529,50,0.34,0
carboplatin,0,107.7438,371.24848,360,0.1,1
cefazolin,0,107.8072,454.50716,3000,-0.58,0
celecoxib,0,1.8328,381.37216,200,3.9,1
cephalexin,0,46.0573,347.38888,2000,0.65,1
chlorambucil,0,1.5614,304.21216,4,1.7,1
chlorpropamide,0,130.0846,276.73982,375,2.27,0
