chnm,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,classificn
abacavir,-1.444761650482688,-0.6495130618987331,-0.06230380293217818,-0.6440033619255886,-0.3158126836947373,0.012594193024973426,-0.06504531091063001,-0.23138763816785096,-0.1502175222875156,-0.040411623635138345,0.10331386535978249,-0.2150893054437783,-0.31076528548536797,-0.46276799732377843,0.1850394486113919,-0.29273031631682467,0.5032525862694321,-0.057175691431068605,0.5023991749659172,0.9071765057466069,-0.33124368195291143,0.12306267013807132,1.0366303852485155,0.1393264818587543,0.8125082879082217,0.4204134787606437,0.7535501869512523,-0.25633213278666456,0.046677153515956284,-0.172548209420612,1
acetaminophen,-0.3094959883768989,0.16989986402637028,1.7278444350005127,0.7725095890257402,0.5396197328818699,0.2425699780227832,1.0639541265618755,0.10338204362262465,2.7725894763297596,0.2461534114109888,-2.2019702671146275,1.6462060533049339,1.1569492456035186,-0.9780636214852592,1.4483772431100597,-1.974823732455472,0.9858039904014242,0.7941236005419151,1.7130742355786892,-0.02576243961954694,-1.0095524703521297,-0.39030307709255624,0.0805786192203036,2.85542495459962,0.4216426314628348,-1.9362998820622346,0.5439644104258391,-1.354443013629968,-0.6055308875194771,1.300689865452843,1
acitretin,-1.0943689103289151,-0.5380190612557548,-0.07209722697151491,-0.5807331208531186,-0.549016981022549,0.5996544407979655,0.12316291486920539,3.790549722995322e-05,-0.44583334634660654,-0.23349115158247333,0.5776093340842025,-0.07258222172649262,0.06547886925416914,-0.3303870118385685,-0.30835348121996886,0.45517788559440503,-0.9308923726397461,-0.5033219366956663,-0.8591187390692079,-0.6913440963100789,0.3471384083393921,0.4660038395990377,0.5601910909813813,-0.5496037260073519,-0.4315198310821823,0.5920382397096712,-0.5838153733648973,-0.5717813792531311,0.11736929180366205,-0.18768473759894094,1
albendazole,-0.5584429154366015,1.0351490995874275,-1.1562813765622117,-0.5519302410710629,-0.4803699940155638,0.6525236095261653,-0.5039209544742115,0.271688561540068,-0.04303674904413888,-0.01351835542195694,1.5287073203445487,-0.9093482862145131,-1.1647660189654216,-0.2442278003040359,0.5072225660898255,-0.24283246068074055,-0.964668530857579,0.928340035266956,-0.06517751309289958,-1.4939611839874283,-0.10405946379956674,0.03759790253227237,-0.11088971620286261,-1.2284098535253247,1.0932547261711059,1.857060435171866,-0.18054183774291985,-0.6103464122633102,-0.2506794387201753,0.7929029469775746,1
alclofenac,-1.4143052622516596,-0.9122617034924565,0.01934491784396708,-0.1691908399104289,-0.3571332924951949,-0.014594830502255858,-0.3692967676325139,0.6625245758900885,0.07887360361177638,1.0381073637635785,-0.11396002613366521,-0.274379543028597,0.3461174619744265,-0.6877655985835093,0.19188359027662094,-0.7895507001085809,0.4643805579067232,0.011124268795981428,-0.3518974847395873,1.2691922231929933,-0.7308936477379042,0.4574906710859427,1.342013898440183,0.192954381447597,-0.25070595097588333,0.10576805777903991,0.19046173847909853,-0.5631030876019637,-0.6081850082923809,0.37974794215238705,1
allopurinol,-1.5430573707684994,-0.9258005811910031,0.2089877113434854,-0.3461629488392056,-0.3706468235220573,0.1960933114004571,0.08292116471086078,-0.2538276389386373,-0.029945267474493754,-0.11498275655993506,-0.461436964532216,-0.3411692628188301,-0.4140120829324256,-0.3924982649287321,-0.2719152639430703,-0.22948843443306016,0.6726367447156183,-0.607559650216468,0.5375375106165164,0.29078389809070715,-0.23338519487645915,-0.08923782100778377,-0.27591060562660435,0.15239543788089457,0.4150554671002716,0.1451128647050661,-0.1289518169516659,0.4548043458079957,0.04109749944589014,0.593257540034164,1
ambrisentan,-1.4706972945800485,-0.8498103987695933,0.10057219185607963,-0.5063129125453691,-0.43082141289911974,0.2616271201389575,0.057036076029422116,-0.2835726830214214,-0.18641927648624293,-0.13751118336077803,-0.3033586438913695,-0.3659537962741573,-0.22470100456323136,-0.4343322651250024,-0.263772950421633,0.13185855527244908,-0.22110348285302978,-0.23385986440504258,0.19448513332122924,0.055893498058836616,0.0038566346000988806,0.2975074462409863,-0.2166578835930027,-0.43617369659615435,0.18710955525773754,-0.4002386888345999,0.202290506708223,-0.12609250606684685,0.05411375312532071,0.01838134070809557,0
amifostine,-1.5422017900241896,-0.9820396001522818,0.15193944368692977,-0.22220998997559174,-0.2838716534510823,0.046162315122917,-0.1433293005501962,0.01837195787907489,0.1254751798710266,0.3751415907942024,-0.420779460375069,-0.524367267922496,-0.3998383027003461,-0.618615383414257,-0.061993591609240624,-0.7595939236846786,0.7870830039695023,-0.3513170220123111,0.33838201605395996,0.8982071519875008,-0.5334556889226811,0.09708387721522688,0.10178076332634814,0.275804483779727,0.5798885617125545,0.0066885831193992966,0.19253101359235333,0.1748532699413661,-0.4277383009589834,1.1519070460493788,0
amikacin,-1.5927163890264757,-0.9468045038797652,0.14223871534558208,-0.15003131847694418,-0.0952875938958184,0.14602565088593233,0.0302971809417405,-0.4653025687095463,-0.10324926952327984,-0.2467632700753184,-0.48195769349538586,-0.3738841509758443,-0.7911971205366957,-0.3776965191302494,-0.034882783115613485,-0.3632897088824691,0.7706143063679374,-0.7408930706789616,0.5050071999460651,0.29013451884548885,-0.06473040685840337,-0.18904934045231567,-0.21172721810253609,0.4195199301845927,0.28910644547873526,0.3338703679949852,0.30962764124393194,0.4909286340972507,-0.05316231948002006,0.5500611360874548,0
ampicillin,-1.241885544574699,0.11037011448304906,-0.5276940600752337,-1.1363214832879993,-0.19590237431974047,-0.8741518291879339,0.19974793640557656,-0.34960051243953283,-0.5195736389361542,-0.109858700840111,-0.32292861546949775,-0.5295161674906045,-1.1966020682730867,-1.5676148678451594,-0.17287464036717654,0.2026627146893031,0.5150236192129123,-1.0053864767398235,0.25043708619002053,-0.26508907451427494,0.066343522303702,0.14094260858488186,-0.7606790399480092,0.5371613169101266,-0.6611033574441297,-0.3838119960360913,-0.7596593535670388,-0.14681922191731692,-0.4942835091493221,0.9243234491821594,0
