"Classification","chnm","tgt_abbr","testname","NAS"
"MostDILI Drugs","abacavir","AHR","TOX21_AhR_LUC_Agonist_Row256",0.307310929
"MostDILI Drugs","abacavir","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",0.800208652
"MostDILI Drugs","acetaminophen","CD40","BSK_LPS_CD40_down_Row64",0.999917414
"MostDILI Drugs","acetaminophen","F3","BSK_LPS_TissueFactor_down_Row147",0.999924075
"MostDILI Drugs","acetaminophen","PGR","NVS_NR_hPR_Row590",0.891443229
"MostDILI Drugs","acetaminophen","PTGER2","BSK_LPS_PGE2_down_Row146",0.866227601
"MostDILI Drugs","acetaminophen","SOX1","ATG_Sox_CIS_up_Row451",0.354874886
"MostDILI Drugs","acetaminophen","xtt","ATG_XTT_Cytotoxicity_up_Row1093",0.999939534
"MostDILI Drugs","acitretin","CYP19A1","TOX21_Aromatase_Inhibition_Row119",0.637823371
"MostDILI Drugs","acitretin","ESR1","TOX21_ERa_LUC_BG1_Antagonist_Row179",-0.003322395
"MostDILI Drugs","acitretin","PPARG","TOX21_PPARg_BLA_Agonist_ratio_Row2",-1.336234949
"MostDILI Drugs","acitretin","THRA","TOX21_TR_LUC_GH3_Agonist_Row273",-2.102512953
"MostDILI Drugs","albendazole","AHR","TOX21_AhR_LUC_Agonist_Row256",-1.562636354
"MostDILI Drugs","albendazole","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",-1.301779731
"MostDILI Drugs","albendazole","hmgbox","ATG_TCF_b_cat_CIS_dn_Row85",-2.449866144
"MostDILI Drugs","albendazole","NR1H3","ATG_DR4_LXR_CIS_dn_Row28",-2.50155629
"MostDILI Drugs","albendazole","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",0.239645906
"MostDILI Drugs","albendazole","NR3C1","TOX21_GR_BLA_Agonist_ch2_Row270",-1.257992818
"MostDILI Drugs","albendazole","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",0.64175649
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p4_ch2_Row163",0.754240488
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p4_ratio_Row126",0.749040166
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p1_ch2_Row274",0.71993392
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p3_ch2_Row92",0.690658532
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p1_ratio_Row162",0.67262346
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p2_ch2_Row77",0.662270954
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p2_ratio_Row80",0.641397762
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p3_ratio_Row118",0.621062384
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p5_ratio_Row117",0.599432315
"MostDILI Drugs","albendazole","TP53","TOX21_p53_BLA_p5_ch2_Row151",0.5809289
"MostDILI Drugs","alclofenac","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",0.99955572
"MostDILI Drugs","alclofenac","ESR1","TOX21_ERa_BLA_Agonist_ch1_Row242",0.993251185
"MostDILI Drugs","alclofenac","ESR1","TOX21_ERa_BLA_Agonist_ch2_Row269",0.991964113
"MostDILI Drugs","alclofenac","ESR1","TOX21_ERa_BLA_Agonist_ratio_Row246",0.987410197
"MostDILI Drugs","alclofenac","PPARG","TOX21_PPARg_BLA_Agonist_ratio_Row2",0.96274114
"MostDILI Drugs","alclofenac","PPARG","TOX21_PPARg_BLA_Agonist_ch2_Row1",0.910117931
"MostDILI Drugs","allopurinol","TP53","TOX21_p53_BLA_p2_ch1_Row98",-0.006377222
"MostDILI Drugs","allopurinol","TP53","TOX21_p53_BLA_p2_viability_Row180",-0.185329869
"AmbiDILIDrugs","ambrisentan","TP53","TOX21_p53_BLA_p4_viability_Row177",0.999985377
"NoDILI Drugs","amifostine","TP53","TOX21_p53_BLA_p3_ch1_Row121",0.999996513
"NoDILI Drugs","amikacin","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",0.406326827
"LessDILIDrugs","ampicillin","NF1A","ATG_NFI_CIS_dn_Row415",0.32075436
"LessDILIDrugs","ampicillin","NR3C1","ATG_GRE_CIS_dn_Row374",0.320805319
"LessDILIDrugs","ampicillin","TP53","TOX21_p53_BLA_p3_ch2_Row92",0.612323589
"AmbiDILIDrugs","amrinone","AR","TOX21_AR_BLA_Antagonist_viability_Row157",0.808401355
"LessDILIDrugs","anastrozole","CYP19A1","TOX21_Aromatase_Inhibition_Row119",-2.535202452
"LessDILIDrugs","anastrozole","ESR1","NVS_NR_bER_Row617",0.529212984
"LessDILIDrugs","aspirin","CSF1","NVS_ENZ_hCSF1R_Row817",-0.51718543
"LessDILIDrugs","aspirin","NPY1R","NVS_GPCR_hNPY1_Row978",-2.248698421
"LessDILIDrugs","aspirin","PLAUR","BSK_4H_uPAR_down_Row101",0.997489725
"LessDILIDrugs","aspirin","PTGER2","BSK_LPS_PGE2_down_Row146",0.42451609
"LessDILIDrugs","aspirin","RXRB","ATG_RXRb_TRANS_up_Row311",-0.545466136
"LessDILIDrugs","atenolol","intmrkr","ATG_M_19_TRANS_up_Row402",0.284073242
"LessDILIDrugs","auranofin","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",0.35066342
"LessDILIDrugs","auranofin","AR","TOX21_AR_BLA_Antagonist_ch2_Row227",0.184417046
"LessDILIDrugs","auranofin","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",-1.813733448
"LessDILIDrugs","auranofin","CYP19A1","TOX21_Aromatase_Inhibition_Row119",-1.832348848
"LessDILIDrugs","auranofin","NR3C1","TOX21_GR_BLA_Antagonist_ratio_Row155",0.270370017
"LessDILIDrugs","auranofin","NR3C1","TOX21_GR_BLA_Antagonist_ch2_Row165",0.085908981
"LessDILIDrugs","auranofin","PPARG","TOX21_PPARg_BLA_Agonist_ch2_Row1",0.328385065
"LessDILIDrugs","auranofin","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",0.503041243
"LessDILIDrugs","auranofin","TP53","TOX21_p53_BLA_p1_ch1_Row166",-1.748997205
"LessDILIDrugs","auranofin","TP53","TOX21_p53_BLA_p4_ch2_Row163",-2.302919122
"MostDILI Drugs","azathioprine","prlfrn","NCCT_HEK293T_CellTiterGLO_Row88",-3.071441021
"LessDILIDrugs","azithromycin","TP53","TOX21_p53_BLA_p4_ch2_Row163",0.999662984
"AmbiDILIDrugs","aztreonam","NFKB1","TOX21_NFkB_BLA_agonist_ch1_Row247",0.896742278
"MostDILI Drugs","benzbromarone","ESR1","TOX21_ERa_BLA_Antagonist_ratio_Row156",-2.330056416
"MostDILI Drugs","benzbromarone","HSF1","TOX21_HSE_BLA_agonist_ratio_Row172",-1.434304158
"MostDILI Drugs","benzbromarone","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",-1.457278955
"MostDILI Drugs","benzbromarone","NR3C1","TOX21_GR_BLA_Antagonist_ratio_Row155",-2.728049704
"MostDILI Drugs","benzbromarone","NR3C1","TOX21_GR_BLA_Antagonist_ch2_Row165",-3.09510437
"MostDILI Drugs","benzbromarone","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",-0.053999859
"MostDILI Drugs","benzbromarone","PPARD","TOX21_PPARd_BLA_antagonist_ratio_Row221",-1.820763542
"MostDILI Drugs","benzbromarone","PPARG","TOX21_PPARg_BLA_Agonist_ch2_Row1",0.472629457
"MostDILI Drugs","benzbromarone","PPARG","TOX21_PPARg_BLA_Agonist_ratio_Row2",0.378642587
"MostDILI Drugs","benzbromarone","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",-3.717666248
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p2_ch2_Row77",0.727014508
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p1_ch2_Row274",0.449370666
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p4_ch2_Row163",0.371124668
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p5_ch2_Row151",0.331379317
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p2_ratio_Row80",0.205433701
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p3_ratio_Row118",-1.546115302
"MostDILI Drugs","benzbromarone","TP53","TOX21_p53_BLA_p5_ratio_Row117",-2.942718764
"MostDILI Drugs","bicalutamide","AR","NVS_NR_cAR_Row619",0.750329881
"MostDILI Drugs","bicalutamide","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",0.335144035
"MostDILI Drugs","bicalutamide","AR","NVS_NR_rAR_Row591",0.328714203
"MostDILI Drugs","bicalutamide","AR","OT_AR_ARSRC1_0480_Row1045",-3.098394362
"MostDILI Drugs","bicalutamide","ESR1","NVS_NR_mERa_Row618",0.984573823
"MostDILI Drugs","bicalutamide","ESR1","OT_ER_ERbERb_1440_Row1051",-0.146211244
"MostDILI Drugs","bicalutamide","ESR1","OT_ER_ERaERb_1440_Row1049",-1.96374502
"MostDILI Drugs","bicalutamide","ESR1","NVS_NR_hER_Row588",-2.942595606
"MostDILI Drugs","bicalutamide","NR1I2","ATG_PXRE_CIS_up_Row16",-1.206897861
"MostDILI Drugs","bicalutamide","NR3C1","NVS_NR_hGR_Row589",-0.504837274
"NoDILI Drugs","bisacodyl","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",-1.766834227
"NoDILI Drugs","bisacodyl","NFKB1","TOX21_NFkB_BLA_agonist_viability_Row241",-1.381814347
"NoDILI Drugs","bisacodyl","TP53","TOX21_p53_BLA_p1_ch2_Row274",-2.074546747
"NoDILI Drugs","bisacodyl","TP53","TOX21_p53_BLA_p1_ratio_Row162",-2.394469153
"MostDILI Drugs","bortezomib","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",0.986148703
"MostDILI Drugs","bortezomib","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",0.963102531
"MostDILI Drugs","bortezomib","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",0.917466024
"MostDILI Drugs","bortezomib","AR","TOX21_AR_BLA_Agonist_ch2_Row254",-0.618001072
"MostDILI Drugs","bortezomib","CYP19A1","TOX21_Aromatase_Inhibition_Row119",0.962430718
"MostDILI Drugs","bortezomib","ESR1","TOX21_ERa_BLA_Antagonist_ratio_Row156",0.955642815
"MostDILI Drugs","bortezomib","ESR1","TOX21_ERa_LUC_BG1_Antagonist_Row179",0.817605578
"MostDILI Drugs","bortezomib","HSF1","TOX21_HSE_BLA_agonist_ch2_Row280",0.515325759
"MostDILI Drugs","bortezomib","HSF1","TOX21_HSE_BLA_agonist_ratio_Row172",0.482178158
"MostDILI Drugs","bortezomib","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",-0.534770317
"MostDILI Drugs","bortezomib","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.915581507
"MostDILI Drugs","bortezomib","NRF2","TOX21_ARE_BLA_Agonist_ch2_Row24",0.909791503
"MostDILI Drugs","bortezomib","PPARD","TOX21_PPARd_BLA_antagonist_ratio_Row221",0.78370808
"MostDILI Drugs","bortezomib","PPARG","TOX21_PPARg_BLA_antagonist_ratio_Row220",0.778604978
"MostDILI Drugs","bortezomib","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",0.961440247
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p1_ratio_Row162",0.974932885
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p4_ch2_Row163",0.970420298
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p2_ratio_Row80",0.97023815
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p2_ch2_Row77",0.970102907
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p4_ratio_Row126",0.969882664
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p3_ch2_Row92",0.969530722
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p3_ratio_Row118",0.969251584
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p5_ratio_Row117",0.964055645
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p1_ch2_Row274",0.961608165
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p5_ch2_Row151",0.961599046
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p2_ch1_Row98",0.55011479
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p4_viability_Row177",0.546679705
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p2_viability_Row180",0.273824488
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p3_viability_Row184",-0.024191083
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p1_viability_Row171",-0.105004716
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p4_ch1_Row112",-0.198979849
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p3_ch1_Row121",-0.227550269
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p5_viability_Row185",-0.934999064
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p1_ch1_Row166",-1.226923847
"MostDILI Drugs","bortezomib","TP53","TOX21_p53_BLA_p5_ch1_Row169",-3.250135457
"MostDILI Drugs","bortezomib","VDR","TOX21_VDR_BLA_antagonist_ratio_Row225",-0.264547008
"NoDILI Drugs","budesonide","AR","TOX21_AR_LUC_MDAKB2_Agonist_Row252",-0.5102125
"NoDILI Drugs","budesonide","NR3C1","TOX21_GR_BLA_Agonist_ratio_Row239",-0.137375833
"NoDILI Drugs","budesonide","NR3C1","TOX21_GR_BLA_Agonist_ch2_Row270",-2.635855
"MostDILI Drugs","busulfan","ESR1","NVS_NR_hER_Row588",-2.33522546
"NoDILI Drugs","caffeine","ADORA1","NVS_GPCR_hAdoRA1_Row574",0.932849997
"NoDILI Drugs","caffeine","ADORA2A","NVS_GPCR_hAdoRA2a_Row575",0.864354244
"NoDILI Drugs","caffeine","ADRA1A","NVS_GPCR_bAdoR_NonSelective_Row947",0.602915663
"NoDILI Drugs","caffeine","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",0.047081793
"NoDILI Drugs","caffeine","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",-0.294736374
"NoDILI Drugs","caffeine","ESR1","ATG_ERa_TRANS_up_Row27",0.017433724
"NoDILI Drugs","caffeine","ESR1","TOX21_ERa_LUC_BG1_Antagonist_Row179",-0.983519489
"NoDILI Drugs","caffeine","GATA","ATG_GATA_CIS_up_Row371",0.984395538
"NoDILI Drugs","caffeine","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.774977857
"NoDILI Drugs","caffeine","NRF2","TOX21_ARE_BLA_Agonist_ch2_Row24",0.666385041
"NoDILI Drugs","caffeine","NRF2","TOX21_ARE_BLA_Agonist_ch1_Row235",-0.911098603
"NoDILI Drugs","caffeine","PAX6","ATG_Pax6_CIS_up_Row432",0.987853608
"NoDILI Drugs","caffeine","PDE10A","NVS_ENZ_hPDE10_Row560",0.517494113
"NoDILI Drugs","caffeine","PDE4A","NVS_ENZ_hPDE4A1_Row873",0.257244049
"NoDILI Drugs","caffeine","RXRA","ATG_RXRa_TRANS_dn_Row444",0.999965106
"NoDILI Drugs","caffeine","RXRB","ATG_RXRb_TRANS_up_Row311",-0.361000149
"NoDILI Drugs","caffeine","SOX1","ATG_Sox_CIS_up_Row451",0.997855066
"NoDILI Drugs","caffeine","SP1","ATG_Sp1_CIS_dn_Row452",0.863807418
"NoDILI Drugs","caffeine","STAT3","ATG_STAT3_CIS_dn_Row448",0.864443855
"NoDILI Drugs","caffeine","TP53","TOX21_p53_BLA_p2_viability_Row180",0.999999762
